,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],sig,percentage_points
drinking_water_source_rain_water_collection,-0.11436641839141094,0.05404504750427232,-2.1161313325216367,0.03439298351522602,-0.22032364543019284,-0.008409191352629061,*,-11.436641839141094
drinking_water_source_surface_water__riverstreamponddamlakecanalirrigation_channel,-0.05071251246488207,0.051871794825952576,-0.9776510073545693,0.3283039050135541,-0.15240900076657315,0.050983975836809005,insig,-5.071251246488207
drinking_water_source_tubewell_borehole_with_pump,-0.08912658022955211,0.05298190679842739,-1.68220786331151,0.09260371639831172,-0.19299948231451697,0.014746321855412733,insig,-8.912658022955211
drinking_water_source_vendors__bicycles_with_buckets,-0.0360440945317696,0.07283373808461481,-0.4948818429433797,0.6207097075679813,-0.17883721395135468,0.10674902488781549,insig,-3.60440945317696
drinking_water_source_vendors__cart_with_small_tank_drum_buckets,-0.02783330690825392,0.05881466813553012,-0.4732375067409372,0.6360686139825337,-0.143141543881389,0.08747493006488118,insig,-2.783330690825392
drinking_water_source_vendors__tankers_truck,0.028718978475121754,0.06703988295030573,0.4283864650600614,0.6683919929934916,-0.10271508304286245,0.16015303999310596,insig,2.8718978475121753
drinking_water_source_water_from_spring__protected_spring,-0.07235660751051846,0.05430921031648456,-1.3323082233909034,0.1828320264230227,-0.17883173508526645,0.03411852006422951,insig,-7.235660751051847
drinking_water_source_water_from_spring__unprotected_spring,-0.034069698009123475,0.0548834497000116,-0.6207645145366341,0.5347886394176156,-0.14167064220435227,0.0735312461861053,insig,-3.4069698009123477
toilet_shared_yes,-0.014461269055402272,0.012531576049264663,-1.1539864577728707,0.2485721241982186,-0.03902986710318329,0.010107328992378744,insig,-1.4461269055402273
toilet_facility_composting_toilet,0.06169999293356203,0.13607571535530474,0.4534239836436526,0.6502671595229985,-0.20508125959890927,0.32848124546603336,insig,6.169999293356203
toilet_facility_flush_to_piped_sewer_system,0.02700135376049545,0.07395675006597469,0.36509654272812586,0.715057932852387,-0.1179934703660161,0.171996177887007,insig,2.700135376049545
toilet_facility_flush_to_pit_latrine,0.017846872711677342,0.07323604247830019,0.24368974766714577,0.8074831507186517,-0.12573497869999364,0.16142872412334833,insig,1.7846872711677342
toilet_facility_flush_to_septic_tank,0.0470472050271275,0.07167037898139642,0.6564386249351299,0.5115783145672471,-0.09346510772617422,0.18755951778042923,insig,4.7047205027127506
toilet_facility_flush_to_somewhere_else,-0.007510110283695533,0.13544691539373152,-0.05544689048004042,0.9557851072191714,-0.2730585782527871,0.25803835768539607,insig,-0.7510110283695532
toilet_facility_flush_to_unknown_place_not_sure_dk_where,0.15702357669635567,0.1439343126197309,1.0909391502164334,0.2753629475512516,-0.12516473370737255,0.43921188710008385,insig,15.702357669635566
toilet_facility_hanging_toilet_hanging_latrine,0.19659938918981246,0.1534660126261596,1.2810614273840877,0.20024362018551722,-0.10427615618335284,0.49747493456297776,insig,19.659938918981247
toilet_facility_no_facility_bush_field,-0.010890341119488316,0.06701528873954556,-0.16250532265575324,0.8709158431380594,-0.1422761848174558,0.12049550257847917,insig,-1.0890341119488316
toilet_facility_other_,0.01542090594633435,0.12270795685885189,0.12567160550210008,0.8999979621622666,-0.22515238327744913,0.25599419517011784,insig,1.542090594633435
toilet_facility_pit_latrine_with_slab,0.07492740569970016,0.06674094139951435,1.1226603060808096,0.2616466905160238,-0.05592057033531683,0.20577538173471716,insig,7.4927405699700165
toilet_facility_pit_latrine_without_slab_open_pit,0.07933050883638533,0.06680027939423311,1.1875775005101843,0.2350678235060241,-0.05163380143587966,0.21029481910865033,insig,7.933050883638533
toilet_facility_ventilated_improved_pit_latrine_vip,0.08717774795334737,0.06792317713525654,1.283475709325977,0.19939707444377722,-0.04598804305362417,0.2203435389603189,insig,8.717774795334737
cooking_fuel_source_animal_dung,-0.0002538274865681242,0.31902897976834593,-0.0007956251709560492,0.9993652212401103,-0.6257214253935435,0.6252137704204073,insig,-0.02538274865681242
cooking_fuel_source_biogas,0.11687190664290818,0.1388295567144795,0.8418373537219456,0.3999274728140868,-0.1553083492691013,0.3890521625549177,insig,11.687190664290819
cooking_fuel_source_charcoal,0.13530231375280927,0.0865816477855133,1.5627135451151326,0.11819617934926767,-0.03444406885655507,0.3050486963621736,insig,13.530231375280927
cooking_fuel_source_electricity,0.21623281713850775,0.10862837032949112,1.990574069026639,0.046593168901437255,0.003263055257090336,0.4292025790199252,*,21.623281713850776
cooking_fuel_source_firewood,0.10176078800692918,0.08543984962216866,1.1910225551301277,0.2337127966424132,-0.06574705892131823,0.2692686349351766,insig,10.176078800692919
cooking_fuel_source_kerosene,0.14509707157913915,0.0881715629176008,1.6456220892300286,0.09991726064064956,-0.02776639587707766,0.3179605390353559,insig,14.509707157913915
cooking_fuel_source_liquified_petroleum_gas_lpg,0.1270376516425331,0.08833892903262414,1.4380709958077178,0.1504892581406908,-0.04615394300141029,0.3002292462864765,insig,12.703765164253312
cooking_fuel_source_other_,0.08895753611177941,0.09537064746325909,0.9327559210086072,0.3510002278643858,-0.09801999120561898,0.2759350634291778,insig,8.895753611177941
lighting_source_candles,0.0027818950072739865,0.06032020674699858,0.04611879098727407,0.9632177862999456,-0.11547800365990266,0.12104179367445062,insig,0.2781895007273987
lighting_source_electricity_connection_from_mains,0.09247738179074848,0.042005502512723475,2.2015539931402337,0.02775163153101033,0.01012410850947465,0.1748306550720223,*,9.247738179074847
lighting_source_fuel_wood,-0.10843244514929493,0.037045077210587425,-2.927040603341086,0.0034406170125472714,-0.18106062919078597,-0.03580426110780388,**,-10.843244514929493
lighting_source_gas_lamp,-0.07021133377359876,0.30889121890713217,-0.2273011645394417,0.8202007559549477,-0.6758034929708276,0.5353808254236301,insig,-7.021133377359876
lighting_source_generator,0.02604211645287842,0.06669134810799186,0.3904871799968563,0.6961963610856217,-0.10470863018014696,0.1567928630859038,insig,2.604211645287842
lighting_source_other_,-0.04971606073634655,0.04745776322662835,-1.0475854181945743,0.29489062130371385,-0.14275868397687763,0.04332656250418453,insig,-4.971606073634655
lighting_source_paraffin_lantern,0.05936268942317637,0.025319385654899367,2.3445548889804733,0.019096667609891687,0.009723138378160204,0.10900224046819254,*,5.936268942317637
lighting_source_paraffin_pressure_lamp,-0.06503220853303379,0.08250163968498522,-0.7882535278249657,0.4305934145331427,-0.226779590964009,0.0967151738979414,insig,-6.503220853303379
lighting_source_paraffintin_lamp,-0.0005327061900821783,0.024425545607031987,-0.021809387542557696,0.9826010535286747,-0.04841985220888845,0.04735443982872409,insig,-0.05327061900821783
lighting_source_solar_energy,0.07880838612733464,0.02525528772389045,3.120470730285333,0.0018180112854434753,0.029294501343007595,0.12832227091166168,**,7.880838612733464
access_electricity_yes,-0.0200933403469748,0.03371505050418975,-0.5959753892249936,0.5512241467536918,-0.08619288925779836,0.046006208563848766,insig,-2.00933403469748
own_radio_yes,0.02082802497763453,0.01083404080505914,1.922461374513979,0.054616053924101356,-0.00041249518729515045,0.04206854514256421,insig,2.0828024977634527
own_tv_yes,0.021284823211789202,0.015673262864460552,1.3580339585864396,0.17452668172549451,-0.009443162948957088,0.052012809372535496,insig,2.1284823211789203
own_landline_yes,0.7714862367037527,0.3091641911235789,2.495393253338886,0.012620281152042943,0.16535890582199453,1.3776135675855108,*,77.14862367037527
own_desktop_yes,0.012268719218818008,0.045196967673850265,0.27145005185638493,0.7860584025568477,-0.0763415343831252,0.1008789728207612,insig,1.2268719218818007
own_laptop_yes,0.04142885242546457,0.031021785991355348,1.3354760566335315,0.18179377410176042,-0.019390456155487325,0.10224816100641645,insig,4.142885242546457
own_tablet_yes,0.0597156670008591,0.06203729707558105,0.9625768661085691,0.33581595325094427,-0.0619106479836929,0.1813419819854111,insig,5.971566700085909
